company,year,electricity_gwh,it_load_gwh,water_litres,water_consumed_litres,pue,wue,cue,co2_tons,renewable_pledged_pct,renewable_actual_pct,queries_million,region,facility_count,energy_waste_pct,energy_wasted_gwh,renewable_gap_pct,co2_per_gwh,water_per_million_queries,water_per_query_ml
AWS,2021,20.28,16.88,7067332852,4507504497,1.202,418.745,207.5061,4209128,85,56,1585.0,North America,80,16.805324459234605,3.400000000000002,29,207550.6903353057,4458885.080126183,4458.885080126182
AWS,2022,26.75,22.7,8201691408,5411847798,1.179,361.308,151.5777,4055291,100,62,2138.7,North America,84,15.182357930449536,4.050000000000001,38,151599.66355140187,3834895.688034788,3834.895688034788
AWS,2023,31.99,27.18,9088075908,5645463094,1.177,334.422,115.008,3678567,100,68,2424.7,North America,90,15.038232795242145,4.809999999999999,32,114991.15348546421,3748123.8536726194,3748.123853672619
AWS,2024,37.48,33.53,10824527845,6328456007,1.118,322.799,88.4239,3313808,100,75,2799.1,Europe,100,10.554561717352422,3.9499999999999957,25,88415.3681963714,3867145.8129398734,3867.1458129398734
All,2015,400000.0,253164.56,1680000000000,1120000000000,1.578,1.803,0.4572,168000,20,15,5000.0,Global,8000,36.628643852978456,146835.44,5,0.42,336000000.0,336000.0
All,2016,415000.0,262658.23,1743000000000,1162000000000,1.563,1.803,0.4421,174300,24,18,6500.0,Global,8500,36.020473448496475,152341.77000000002,6,0.42,268153846.15384614,268153.8461538461
All,2017,430000.0,272151.9,1806000000000,1204000000000,1.555,1.769,0.435,180600,29,21,8450.0,Global,9000,35.69131832797427,157848.09999999998,8,0.42,213727810.65088758,213727.81065088755
All,2018,450000.0,284810.13,1890000000000,1260000000000,1.547,1.741,0.4241,189000,34,25,10985.0,Global,9500,35.35875888817065,165189.87,9,0.42,172052799.27173418,172052.7992717342
All,2019,475000.0,300632.91,1995000000000,1330000000000,1.541,1.733,0.4259,199500,38,28,14280.5,Global,10000,35.107073329007136,174367.09000000003,10,0.42,139700990.8616645,139700.9908616645
All,2020,500000.0,316455.7,2100000000000,1400000000000,1.524,1.743,0.4002,210000,42,31,18564.7,Global,10500,34.38320209973754,183544.3,11,0.42,113117906.56460917,113117.90656460918
All,2021,540000.0,341772.15,2268000000000,1512000000000,1.519,1.692,0.4034,226800,47,34,24134.0,Global,11000,34.167215273206054,198227.84999999998,13,0.42,93975304.54959808,93975.30454959808
All,2022,600000.0,379746.84,2520000000000,1680000000000,1.507,1.656,0.3915,252000,52,37,31374.3,Global,11500,33.64299933642999,220253.15999999997,15,0.42,80320517.11113873,80320.51711113875
All,2023,700000.0,443037.97,2940000000000,1960000000000,1.497,1.657,0.3878,294000,56,41,40786.5,Global,12000,33.1997327989312,256962.03000000003,15,0.42,72082674.41432828,72082.67441432827
All,2024,850000.0,537974.68,3570000000000,2380000000000,1.487,1.638,0.3795,357000,60,44,53022.5,Global,12500,32.75050437121722,312025.31999999995,16,0.42,67329907.11490405,67329.90711490404
