company,year,electricity_gwh,it_load_gwh,water_litres,water_consumed_litres,pue,wue,cue,co2_tons,renewable_pledged_pct,renewable_actual_pct,queries_million,region,facility_count,energy_waste_pct,energy_wasted_gwh,renewable_gap_pct,co2_per_gwh,water_per_million_queries,water_per_query_ml,total_capacity_mw,avg_stress_score,max_stress_score,high_stress_count,location_count,pue_tier,renewable_status,energy_waste_tier,water_billion_litres,electricity_twh,co2_million_tonnes
Microsoft,2015,5.56,4.5,2495521745,1633435188,1.235,554.519,726.276,4037826,30,25,196.0,North America,20,19.028340080971667,1.0599999999999996,5,726227.6978417267,12732253.801020408,12732.253801020408,2020.0,2.9375,4.8,4.0,8.0,Good,On Track,Good,2.495521745,0.00556,4.037826
Microsoft,2016,6.37,5.26,2832017693,1735662071,1.21,537.982,587.353,3740470,40,32,250.2,North America,24,17.355371900826444,1.1100000000000003,8,587200.9419152276,11319015.559552358,11319.01555955236,2020.0,2.9375,4.8,4.0,8.0,Good,On Track,Good,2.832017693,0.00637,3.74047
Microsoft,2017,7.73,6.48,3172595901,2334838738,1.193,489.54,434.817,3360669,50,40,320.3,Asia-Pacific,30,16.177703269069575,1.25,10,434756.66235446313,9905076.181704652,9905.076181704651,2020.0,2.9375,4.8,4.0,8.0,Excellent,On Track,Good,3.172595901,0.007730000000000001,3.360669
Microsoft,2018,8.88,7.52,3899764451,2841024419,1.181,518.625,386.8877,3436807,60,48,394.1,Asia-Pacific,36,15.3259949195597,1.3600000000000012,12,387027.81531531527,9895367.802588174,9895.367802588176,2020.0,2.9375,4.8,4.0,8.0,Excellent,Moderate Gap,Good,3.899764451,0.00888,3.436807
Microsoft,2019,9.75,8.32,4286790674,3059066484,1.172,515.482,298.9025,2913933,70,53,423.5,North America,42,14.675767918088734,1.4299999999999995,17,298864.92307692306,10122292.0283353,10122.2920283353,2020.0,2.9375,4.8,4.0,8.0,Excellent,Moderate Gap,Excellent,4.286790674,0.00975,2.913933
Microsoft,2020,11.67,10.05,4826684700,3564902153,1.161,480.127,254.0905,2965648,80,60,548.6,Europe,50,13.867355727820843,1.6199999999999992,20,254125.7926306769,8798185.745534087,8798.185745534087,2020.0,2.9375,4.8,4.0,8.0,Excellent,Moderate Gap,Excellent,4.8266847,0.01167,2.965648
Microsoft,2021,13.5,11.72,5227872612,3173151900,1.153,446.217,206.6384,2790387,100,68,766.8,Europe,58,13.269731136166524,1.7799999999999994,32,206695.3333333333,6817778.575899844,6817.778575899844,2020.0,2.9375,4.8,4.0,8.0,Excellent,High Greenwash Risk,Excellent,5.227872612,0.0135,2.790387
Microsoft,2022,15.34,13.45,6750314942,3908290422,1.14,501.704,175.3142,2689753,100,72,953.3,North America,60,12.280701754385955,1.8900000000000008,28,175342.43807040417,7080997.526486941,7080.99752648694,2020.0,2.9375,4.8,4.0,8.0,Excellent,High Greenwash Risk,Excellent,6.750314942,0.01534,2.689753
Microsoft,2023,18.65,16.38,7950030258,4957294048,1.139,485.383,130.2608,2429295,100,78,1275.8,Europe,65,12.203687445127304,2.27,22,130257.10455764076,6231407.946386581,6231.407946386581,2020.0,2.9375,4.8,4.0,8.0,Excellent,High Greenwash Risk,Excellent,7.950030258,0.01865,2.429295
Microsoft,2024,21.79,19.63,8545670060,4769808714,1.11,435.361,117.4136,2558437,100,83,1555.2,North America,70,9.90990990990992,2.16,17,117413.35474988529,5494901.015946502,5494.901015946502,2020.0,2.9375,4.8,4.0,8.0,Excellent,Moderate Gap,Excellent,8.54567006,0.02179,2.558437
Meta,2015,2.38,1.91,1136261777,781961206,1.251,596.177,641.1945,1528416,25,20,51.6,North America,6,20.06394884092725,0.47,5,642191.5966386555,22020577.07364341,22020.577073643413,1680.0,2.5,4.5,3.0,7.0,Good,On Track,Good,1.136261777,0.0023799999999999997,1.528416
Meta,2016,2.99,2.44,1393198045,1023915193,1.226,571.883,460.5883,1375094,35,28,69.4,Europe,7,18.433931484502445,0.5500000000000003,7,459897.6588628762,20074899.78386167,20074.89978386167,1680.0,2.5,4.5,3.0,7.0,Good,On Track,Good,1.393198045,0.00299,1.375094
Meta,2017,3.62,2.95,1536584421,873733484,1.23,521.33,360.576,1306931,51,43,84.6,North America,8,18.69918699186992,0.6699999999999999,8,361030.6629834254,18162936.41843972,18162.93641843972,1680.0,2.5,4.5,3.0,7.0,Good,On Track,Good,1.536584421,0.00362,1.306931
Meta,2018,4.47,3.71,2000915719,1455500680,1.205,538.974,276.32,1236344,75,58,130.5,North America,10,17.01244813278009,0.7599999999999998,17,276587.0246085011,15332687.501915708,15332.687501915709,1680.0,2.5,4.5,3.0,7.0,Good,Moderate Gap,Good,2.000915719,0.00447,1.236344
Meta,2019,5.23,4.45,2543572640,1730627116,1.176,572.077,218.6304,1143345,86,65,172.2,North America,12,14.965986394557817,0.7800000000000002,21,218612.81070745696,14771037.398373984,14771.037398373985,1680.0,2.5,4.5,3.0,7.0,Excellent,High Greenwash Risk,Excellent,2.54357264,0.00523,1.143345
Meta,2020,6.04,5.13,2632657968,1790014128,1.178,513.339,175.6263,1061251,100,75,234.7,Europe,15,15.11035653650254,0.91,25,175703.80794701987,11217119.590967191,11217.119590967191,1680.0,2.5,4.5,3.0,7.0,Excellent,High Greenwash Risk,Good,2.632657968,0.00604,1.061251
Meta,2021,7.41,6.49,3095387441,2304832023,1.142,477.242,126.6957,938816,100,80,316.0,Europe,18,12.434325744308223,0.92,20,126695.81646423752,9795529.876582278,9795.52987658228,1680.0,2.5,4.5,3.0,7.0,Excellent,Moderate Gap,Excellent,3.095387441,0.00741,0.938816
Meta,2022,8.89,7.85,4100380373,2728314278,1.133,522.584,95.7746,851777,100,86,407.9,Europe,20,11.738746690203,1.040000000000001,14,95812.93588301462,10052415.721990684,10052.415721990685,1680.0,2.5,4.5,3.0,7.0,Excellent,Moderate Gap,Excellent,4.100380373,0.00889,0.851777
Meta,2023,10.4,9.28,4460233134,2466916247,1.121,480.779,82.9805,863345,100,90,548.2,Asia-Pacific,22,10.793933987511153,1.120000000000001,10,83013.9423076923,8136142.163443997,8136.142163443999,1680.0,2.5,4.5,3.0,7.0,Excellent,On Track,Excellent,4.460233134,0.0104,0.863345
Meta,2024,13.19,12.08,4919402533,3543088173,1.092,407.228,57.0077,751701,100,94,725.6,Europe,24,8.424908424908432,1.1099999999999994,6,56990.21986353298,6779771.958379272,6779.771958379272,1680.0,2.5,4.5,3.0,7.0,Excellent,On Track,Excellent,4.919402533,0.01319,0.751701
AWS,2015,8.04,6.17,2867421385,1929778736,1.304,464.922,650.6166,5231975,25,18,526.4,Europe,30,23.312883435582823,1.8699999999999992,7,650743.1592039801,5447229.074848024,5447.229074848024,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,On Track,Good,2.867421385,0.008039999999999999,5.231975
AWS,2016,9.45,7.31,3663361557,2278238069,1.294,501.451,547.1162,5172735,30,22,591.6,Asia-Pacific,35,22.720247295208654,2.14,8,547379.3650793651,6192294.721095335,6192.294721095335,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,On Track,Good,3.663361557,0.00945,5.172735
AWS,2017,11.31,8.67,4152028541,2866532999,1.305,479.096,442.9192,5010000,40,30,752.8,North America,42,23.37164750957854,2.640000000000001,10,442970.8222811671,5515447.052337939,5515.447052337939,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,On Track,Good,4.152028541,0.01131,5.01
AWS,2018,13.21,10.64,4627240618,3080150611,1.242,435.024,347.6182,4593333,50,38,883.7,Europe,50,19.484702093397747,2.5700000000000003,12,347716.3512490537,5236212.083286183,5236.212083286184,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,Moderate Gap,Good,4.627240618,0.013210000000000001,4.593333
AWS,2019,15.83,13.0,5303743318,3051838094,1.217,407.829,291.1632,4608981,65,45,1194.1,North America,60,17.830731306491376,2.83,20,291154.8325963361,4441624.0834101,4441.624083410099,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,Moderate Gap,Good,5.303743318,0.01583,4.608981
AWS,2020,18.37,15.19,6369220522,3568905743,1.209,419.248,252.8277,4645113,76,50,1475.9,Europe,70,17.287014061207614,3.180000000000001,26,252864.07185628745,4315482.43241412,4315.48243241412,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,High Greenwash Risk,Good,6.369220522,0.01837,4.645113
AWS,2021,20.28,16.88,7067332852,4507504497,1.202,418.745,207.5061,4209128,85,56,1585.0,North America,80,16.805324459234605,3.400000000000002,29,207550.6903353057,4458885.080126183,4458.885080126182,2630.0,2.6399999999999997,5.0,4.0,10.0,Good,High Greenwash Risk,Good,7.067332852,0.02028,4.209128
AWS,2022,26.75,22.7,8201691408,5411847798,1.179,361.308,151.5777,4055291,100,62,2138.7,North America,84,15.182357930449536,4.050000000000001,38,151599.66355140187,3834895.688034788,3834.895688034788,2630.0,2.6399999999999997,5.0,4.0,10.0,Excellent,High Greenwash Risk,Good,8.201691408,0.02675,4.055291
AWS,2023,31.99,27.18,9088075908,5645463094,1.177,334.422,115.008,3678567,100,68,2424.7,North America,90,15.038232795242145,4.809999999999999,32,114991.1534854642,3748123.853672619,3748.123853672619,2630.0,2.6399999999999997,5.0,4.0,10.0,Excellent,High Greenwash Risk,Good,9.088075908,0.03199,3.678567
AWS,2024,37.48,33.53,10824527845,6328456007,1.118,322.799,88.4239,3313808,100,75,2799.1,Europe,100,10.554561717352422,3.949999999999996,25,88415.3681963714,3867145.8129398734,3867.1458129398734,2630.0,2.6399999999999997,5.0,4.0,10.0,Excellent,High Greenwash Risk,Excellent,10.824527845,0.03748,3.313808
All,2015,400000.0,253164.56,1680000000000,1120000000000,1.578,1.803,0.4572,168000,20,15,5000.0,Global,8000,36.628643852978456,146835.44,5,0.42,336000000.0,336000.0,,,,,,Average,On Track,Poor,1680.0,400.0,0.168
All,2016,415000.0,262658.23,1743000000000,1162000000000,1.563,1.803,0.4421,174300,24,18,6500.0,Global,8500,36.020473448496475,152341.77000000002,6,0.42,268153846.1538461,268153.8461538461,,,,,,Average,On Track,Poor,1743.0,415.0,0.1743
All,2017,430000.0,272151.9,1806000000000,1204000000000,1.555,1.769,0.435,180600,29,21,8450.0,Global,9000,35.69131832797427,157848.09999999998,8,0.42,213727810.6508876,213727.81065088755,,,,,,Average,On Track,Poor,1806.0,430.0,0.1806
All,2018,450000.0,284810.13,1890000000000,1260000000000,1.547,1.741,0.4241,189000,34,25,10985.0,Global,9500,35.35875888817065,165189.87,9,0.42,172052799.27173418,172052.7992717342,,,,,,Average,On Track,Poor,1890.0,450.0,0.189
All,2019,475000.0,300632.91,1995000000000,1330000000000,1.541,1.733,0.4259,199500,38,28,14280.5,Global,10000,35.107073329007136,174367.09000000003,10,0.42,139700990.8616645,139700.9908616645,,,,,,Average,On Track,Poor,1995.0,475.0,0.1995
All,2020,500000.0,316455.7,2100000000000,1400000000000,1.524,1.743,0.4002,210000,42,31,18564.7,Global,10500,34.38320209973754,183544.3,11,0.42,113117906.56460916,113117.90656460918,,,,,,Average,Moderate Gap,Average,2100.0,500.0,0.21
All,2021,540000.0,341772.15,2268000000000,1512000000000,1.519,1.692,0.4034,226800,47,34,24134.0,Global,11000,34.167215273206054,198227.85,13,0.42,93975304.54959808,93975.30454959808,,,,,,Average,Moderate Gap,Average,2268.0,540.0,0.2268
All,2022,600000.0,379746.84,2520000000000,1680000000000,1.507,1.656,0.3915,252000,52,37,31374.3,Global,11500,33.64299933642999,220253.16,15,0.42,80320517.11113873,80320.51711113875,,,,,,Average,Moderate Gap,Average,2520.0,600.0,0.252
All,2023,700000.0,443037.97,2940000000000,1960000000000,1.497,1.657,0.3878,294000,56,41,40786.5,Global,12000,33.1997327989312,256962.03000000003,15,0.42,72082674.41432828,72082.67441432827,,,,,,Average,Moderate Gap,Average,2940.0,700.0,0.294
All,2024,850000.0,537974.68,3570000000000,2380000000000,1.487,1.638,0.3795,357000,60,44,53022.5,Global,12500,32.75050437121722,312025.31999999995,16,0.42,67329907.11490405,67329.90711490404,,,,,,Average,Moderate Gap,Average,3570.0,850.0,0.357
